Postcode,Total,Males,Females,Occupied_Households,Number of connections, Average Speed/Mbps , Median Speed/Mbps , Maximum Speed/Mbps
MK443RX,6,3,3,2,3,1.2,1.4,1.4
MK443RY,40,20,20,23,16,2.8,3.4,5.1
MK443SA,7,4,3,2,1,N/A,N/A,N/A
MK443SD,3,2,1,2,2,N/A,N/A,N/A
MK443SE,9,5,4,2,<3,N/A,N/A,N/A
MK443SF,31,13,18,13,14,7,7.6,8.1
MK443SH,36,15,21,19,19,7.7,8,11.1
MK443SJ,7,3,4,3,2,N/A,N/A,N/A
MK443SL,22,12,10,13,8,7.3,7.4,8.1
MK443SN,5,1,4,1,<3,N/A,N/A,N/A
MK443SP,12,3,9,6,4,6.3,6.4,7.4
MK443SR,5,3,2,3,4,8.1,8.1,8.1
MK443SS,13,6,7,5,3,6.9,6.9,8.1
MK443ST,25,13,12,11,8,7,8,8.1
MK443SU,18,8,10,7,5,8.1,8.1,8.1
MK443SW,14,7,7,7,4,5.7,5.7,7.4
MK443SX,38,19,19,14,11,6.3,6.9,8.1
MK443SY,6,1,5,1,<3,N/A,N/A,N/A
MK443SZ,10,3,7,5,4,7.7,7.7,8.1
MK443TA,5,1,4,1,<3,N/A,N/A,N/A
MK443TD,2,1,1,1,<3,N/A,N/A,N/A
MK443TE,4,1,3,3,1,N/A,N/A,N/A
MK443TF,3,1,2,2,<3,N/A,N/A,N/A
MK443TH,119,65,54,52,42,7,7.4,8.1
MK443TJ,105,47,58,55,26,6.8,6.8,8.1
MK443TL,40,15,25,18,12,5.9,6.8,8.1
MK443TN,74,41,33,26,24,5.9,6.6,8.1
MK443TP,18,9,9,6,7,6.7,6.8,7.4
MK443TR,4,2,2,2,<3,N/A,N/A,N/A
MK443TS,3,2,1,3,<3,N/A,N/A,N/A
MK443TT,88,44,44,44,37,6.5,6.9,8.1
MK443TU,76,41,35,34,27,6.7,7.6,8.1
MK443TW,27,11,16,14,9,5.8,6.8,8.1
MK443TX,2,1,1,1,<3,N/A,N/A,N/A
MK443TY,41,21,20,17,20,5.1,5.1,8.1
MK443TZ,5,3,2,2,0,N/A,N/A,N/A
MK443UA,24,12,12,9,8,6.2,6.4,6.9
MK443UB,9,4,5,3,2,N/A,N/A,N/A
MK443UD,6,4,2,2,<3,N/A,N/A,N/A
MK443UE,53,25,28,25,27,7,7.6,8.1
MK443UH,6,2,4,2,3,3,2.8,3.6
MK443UJ,22,10,12,8,9,6.9,7.4,8.1
MK451AA,4,2,2,1,<3,N/A,N/A,N/A
MK451AB,27,16,11,3,3,8.5,10,15
MK451AD,5,2,3,1,<3,N/A,N/A,N/A
MK451AE,63,32,31,25,23,24.9,20,>=30
MK451AF,10,5,5,3,2,N/A,N/A,N/A
MK451AG,65,34,31,22,20,22.3,17,>=30
MK451AH,11,6,5,3,10,19.2,13.9,>=30
MK451AJ,29,17,12,13,20,20.4,20,>=30
MK451AL,108,57,51,41,43,19,16.6,>=30
MK451AN,50,22,28,19,18,>=30,>=30,>=30
MK451AP,39,19,20,15,15,26.2,20,>=30
MK451AQ,36,22,14,22,16,>=30,20,>=30
MK451AR,33,19,14,12,11,23.6,20,>=30
MK451AS,66,32,34,28,28,28.9,18.9,>=30
MK451AT,58,27,31,27,24,25.9,15.4,>=30
MK451AU,144,77,67,60,49,>=30,20,>=30
MK451AW,27,12,15,22,8,29.8,25,>=30
MK451AX,22,9,13,10,9,28.7,>=30,>=30
MK451AY,72,39,33,29,28,>=30,25.3,>=30
MK451AZ,109,55,54,38,30,>=30,22.3,>=30
MK451BA,51,27,24,20,25,25.3,16.1,>=30
MK451BB,15,8,7,4,4,>=30,24.7,>=30
MK451BD,14,7,7,6,5,>=30,20,>=30
MK451BE,3,1,2,1,0,N/A,N/A,N/A
MK451BF,11,6,5,3,2,N/A,N/A,N/A
MK451BG,38,24,14,12,9,28.1,20,>=30
MK451BJ,20,10,10,10,9,27,15.8,>=30
MK451BL,88,39,49,41,36,23.6,20,>=30
MK451BN,27,14,13,17,13,24.3,20,>=30
MK451BP,71,37,34,26,25,>=30,22.8,>=30
MK451BQ,127,60,67,68,54,>=30,20,>=30
MK451BS,118,58,60,44,27,>=30,21.6,>=30
MK451BT,77,43,34,27,25,29,25.8,>=30
MK451BU,55,29,26,20,11,>=30,>=30,>=30
MK451BW,26,12,14,18,13,>=30,21.7,>=30
MK451BX,46,27,19,23,18,>=30,21.3,>=30
MK451BY,42,16,26,24,8,25.8,20,>=30
MK451BZ,87,46,41,39,33,29.1,20,>=30
MK451DA,54,25,29,19,14,>=30,21.3,>=30
MK451DB,69,38,31,22,18,24.1,20,>=30
MK451DD,38,19,19,12,9,23.9,20,>=30
MK451DE,44,22,22,14,13,27.2,20,>=30
MK451DF,28,12,16,11,9,>=30,20,>=30
MK451DG,18,12,6,7,5,>=30,>=30,>=30
MK451DH,115,52,63,50,38,>=30,20,>=30
MK451DJ,36,19,17,15,14,20.9,16.8,>=30
MK451DL,63,28,35,23,20,29.1,25,>=30
MK451DN,14,6,8,5,5,16,16.4,20
MK451DP,4,1,3,3,7,27.1,15.4,>=30
MK451DQ,39,21,18,14,12,28.1,25,>=30
MK451DS,34,17,17,10,12,26.3,18.9,>=30
MK451DU,62,30,32,22,19,26.5,19.7,>=30
MK451DW,32,17,15,10,7,22.6,20,>=30
MK451DX,80,46,34,32,22,29.8,20.5,>=30
MK451DY,59,31,28,24,23,>=30,>=30,>=30
MK451EA,42,19,23,19,16,24.4,20,>=30
MK451EB,126,56,70,48,45,>=30,20,>=30
MK451ED,45,25,20,20,20,>=30,>=30,>=30
MK451EE,38,16,22,14,12,20.8,20,>=30
MK451EF,126,55,71,41,39,25,20,>=30
MK451EG,26,13,13,11,9,18.1,15.2,>=30
MK451EJ,86,39,47,31,24,>=30,>=30,>=30
MK451EL,84,41,43,31,26,>=30,20.2,>=30
MK451EN,42,18,24,11,11,>=30,20,>=30
MK451EP,38,19,19,18,11,29.2,20,>=30
MK451EQ,67,35,32,26,24,>=30,>=30,>=30
MK451ER,37,12,25,26,6,19,19.4,>=30
MK451ES,115,53,62,57,38,23.5,20.8,>=30
MK451ET,34,14,20,12,11,>=30,>=30,>=30
MK451EU,73,34,39,29,18,>=30,26.2,>=30
MK451EW,15,8,7,6,2,N/A,N/A,N/A
MK451EX,17,9,8,6,5,>=30,20,>=30
MK451EY,28,16,12,16,5,>=30,>=30,>=30
MK451EZ,106,51,55,44,38,>=30,20,>=30
MK451FA,15,7,8,5,5,>=30,>=30,>=30
MK451FB,64,32,32,20,17,21.7,8.1,>=30
MK451FD,27,15,12,9,9,>=30,>=30,>=30
MK451FE,40,19,21,14,14,24.9,20,>=30
MK451FF,29,14,15,9,9,13.7,10.2,>=30
MK451FG,20,12,8,7,5,20.1,7.6,>=30
MK451FH,46,21,25,18,14,23.1,20,>=30
MK451FJ,27,13,14,9,9,>=30,8.5,>=30
MK451FL,89,53,36,54,41,9.9,8.5,21.1
MK451FN,84,44,40,51,42,13.4,12.1,>=30
MK451FP,23,12,11,6,5,25.6,19.5,>=30
MK451FQ,7,3,4,4,4,13.6,13.5,19.4
MK451FX,3,3,0,1,8,10.7,11.9,13.2
MK451GB,19,10,9,5,5,>=30,20,>=30
MK451HA,38,18,20,13,10,>=30,>=30,>=30
MK451HB,23,5,18,0,<3,N/A,N/A,N/A
MK451HD,41,22,19,16,12,>=30,20.5,>=30
MK451HE,49,25,24,18,15,>=30,20,>=30
MK451HF,17,10,7,7,6,20.3,18.6,>=30
MK451HG,98,53,45,57,25,27,20,>=30
MK451HH,66,33,33,27,21,>=30,>=30,>=30
MK451HJ,35,16,19,11,11,>=30,21,>=30
MK451HL,35,12,23,31,5,17.4,18.4,19.5
MK451HN,29,10,19,24,8,26.7,21.1,>=30
MK451HP,65,34,31,23,20,>=30,23.2,>=30
MK451HR,40,19,21,16,17,24.8,19.8,>=30
MK451HS,40,19,21,17,17,>=30,22.8,>=30
MK451HU,33,16,17,13,13,>=30,21.1,>=30
MK451HW,104,53,51,46,37,>=30,18.5,>=30
MK451HX,74,39,35,27,23,>=30,23.3,>=30
MK451HY,62,36,26,27,16,>=30,20.7,>=30
MK451HZ,54,27,27,25,20,>=30,21.5,>=30
MK451JA,28,15,13,17,10,17.6,20,24.4
MK451JB,69,34,35,29,23,>=30,>=30,>=30
MK451JD,75,40,35,31,26,>=30,23.8,>=30
MK451JE,86,45,41,37,35,29.3,20,>=30
MK451JF,44,22,22,20,19,>=30,22.4,>=30
MK451JG,147,78,69,55,42,25.2,20.3,>=30
MK451JH,71,32,39,25,25,>=30,>=30,>=30
MK451JJ,59,29,30,27,22,>=30,20.8,>=30
MK451JL,6,2,4,2,<3,N/A,N/A,N/A
MK451JN,69,35,34,35,27,26,22,>=30
MK451JP,8,5,3,4,4,>=30,16.3,>=30
MK451JQ,36,22,14,16,15,>=30,22.5,>=30
MK451JR,2,1,1,1,3,8,8.1,8.1
MK451JT,53,31,22,21,21,>=30,21.2,>=30
MK451JU,47,24,23,17,13,>=30,>=30,>=30
MK451JX,58,30,28,22,18,23.5,19.5,>=30
MK451JY,22,12,10,8,7,>=30,20,>=30
MK451JZ,9,5,4,6,4,>=30,22.1,>=30
MK451LA,74,33,41,35,25,>=30,21.8,>=30
MK451LB,33,17,16,17,14,21.1,20,>=30
MK451LD,68,38,30,24,18,>=30,>=30,>=30
MK451LE,25,13,12,10,10,23.9,20,>=30
MK451LF,69,35,34,29,27,>=30,20,>=30
MK451LG,58,31,27,26,16,>=30,20,>=30
MK451LH,51,27,24,22,19,24.1,19.2,>=30
MK451LJ,34,18,16,17,12,24.5,20,>=30
MK451LL,61,24,37,26,22,27.2,25.1,>=30
MK451LN,69,38,31,34,24,17.9,18.5,>=30
MK451LP,47,21,26,22,16,19.8,20,>=30
MK451LQ,5,2,3,4,2,N/A,N/A,N/A
MK451LR,13,7,6,4,4,>=30,20.9,>=30
MK451LS,8,4,4,4,4,19.6,20,22
MK451LT,42,21,21,16,14,>=30,20,>=30
MK451LW,26,11,15,12,6,28.7,25.5,>=30
MK451LY,26,15,11,11,11,>=30,>=30,>=30
MK451LZ,40,19,21,14,12,>=30,22.2,>=30
MK451NA,78,37,41,29,25,23.9,20,>=30
MK451NB,45,21,24,20,12,>=30,20,>=30
MK451ND,30,14,16,12,11,>=30,20,>=30
MK451NE,19,10,9,6,5,25.6,20,>=30
MK451NF,16,8,8,6,5,28.4,21.6,>=30
MK451NG,20,12,8,11,7,>=30,>=30,>=30
MK451NH,15,8,7,8,6,>=30,22.5,>=30
MK451NJ,36,14,22,16,12,>=30,>=30,>=30
MK451NL,5,3,2,2,<3,N/A,N/A,N/A
MK451NN,27,13,14,16,10,22.2,20,>=30
MK451NQ,47,28,19,17,15,>=30,21.9,>=30
MK451NR,106,55,51,42,35,28.7,20,>=30
MK451NS,113,58,55,53,41,>=30,20,>=30
MK451NT,23,9,14,8,7,27.6,20,>=30
MK451NU,61,33,28,24,20,>=30,>=30,>=30
MK451NW,108,56,52,36,34,>=30,>=30,>=30
MK451NX,35,17,18,16,13,>=30,>=30,>=30
MK451NY,118,59,59,43,39,>=30,21.3,>=30
MK451NZ,118,59,59,37,36,>=30,22.5,>=30
MK451PA,15,7,8,8,7,>=30,20,>=30
MK451PB,13,7,6,6,5,23.9,15.4,>=30
MK451PD,11,6,5,4,3,16.1,10.3,>=30
MK451PE,17,6,11,8,7,15.9,13.8,>=30
MK451PF,35,16,19,14,11,25.6,20,>=30
MK451PG,30,15,15,14,11,23.4,20,>=30
MK451PH,65,35,30,26,22,>=30,24.7,>=30
MK451PJ,57,30,27,24,20,27.8,18.5,>=30
MK451PL,51,24,27,18,18,>=30,20,>=30
MK451PN,51,22,29,19,17,23.6,15.4,>=30
MK451PP,20,11,9,8,7,>=30,22,>=30
MK451PQ,27,13,14,11,9,16.7,15.4,>=30
MK451PR,36,17,19,15,15,>=30,25.4,>=30
MK451PS,35,18,17,13,12,>=30,20,>=30
MK451PT,25,14,11,8,8,>=30,>=30,>=30
MK451PU,11,5,6,4,4,>=30,>=30,>=30
MK451PX,27,12,15,11,10,23.9,27.9,>=30
MK451PY,48,26,22,18,15,23,20,>=30
MK451PZ,33,18,15,11,9,21.9,16.4,>=30
MK451QA,21,10,11,9,10,27.4,20,>=30
MK451QB,26,13,13,11,9,21.7,20,>=30
MK451QD,31,17,14,9,7,17.7,20,>=30
MK451QE,46,22,24,18,17,29.8,17.9,>=30
MK451QF,23,12,11,8,8,20.7,12.2,>=30
MK451QG,41,21,20,15,15,>=30,20.4,>=30
MK451QH,41,21,20,17,13,18.6,20,>=30
MK451QJ,44,24,20,21,17,26.3,20.8,>=30
MK451QN,37,22,15,13,12,>=30,14.3,>=30
MK451QP,27,11,16,14,12,24.5,23.1,>=30
MK451QQ,7,4,3,3,3,>=30,>=30,>=30
MK451QR,33,14,19,16,13,21,21.1,>=30
MK451QS,58,30,28,33,22,27.9,21.1,>=30
MK451QT,21,10,11,12,9,23.5,21.4,>=30
MK451QU,33,15,18,19,14,26.1,22,>=30
MK451QW,15,6,9,6,4,10.9,11.2,20
MK451QX,73,35,38,33,25,>=30,22.4,>=30
MK451QY,1,1,0,1,4,22.2,22.4,22.8
MK451QZ,26,18,8,12,5,27.4,20.3,>=30
MK451RA,76,37,39,24,22,>=30,>=30,>=30
MK451RB,61,28,33,21,19,28.7,20,>=30
MK451RD,45,25,20,15,17,>=30,>=30,>=30
MK451RE,50,25,25,20,20,23.4,20,>=30
MK451RF,31,13,18,11,8,27.8,20.1,>=30
MK451RG,26,12,14,8,7,>=30,21.6,>=30
MK451RH,27,10,17,17,9,20.4,20,>=30
MK451RJ,16,11,5,7,5,27.8,>=30,>=30
MK451RL,32,16,16,13,11,27.5,>=30,>=30
MK451RN,13,6,7,5,5,>=30,>=30,>=30
MK451RP,102,49,53,45,28,>=30,20.4,>=30
MK451RQ,28,12,16,11,10,>=30,25.1,>=30
MK451RR,5,2,3,3,2,N/A,N/A,N/A
MK451RS,18,9,9,7,6,13.3,13.6,20
MK451RT,51,27,24,22,19,26.9,17,>=30
MK451RU,143,71,72,53,54,>=30,22.1,>=30
MK451RW,27,15,12,10,11,18.7,16.4,>=30
MK451RX,42,18,24,16,14,23.4,20,>=30
MK451RY,8,4,4,6,4,24,23.1,>=30
MK451RZ,6,2,4,2,3,>=30,>=30,>=30
MK451SA,19,9,10,9,9,22.2,20,>=30
MK451SB,73,42,31,24,22,>=30,22.1,>=30
MK451SD,100,53,47,38,32,29.4,20,>=30
MK451SE,41,20,21,18,16,27.5,20,>=30
MK451SF,19,12,7,6,4,25,20,>=30
MK451SG,8,3,5,4,2,N/A,N/A,N/A
MK451SH,92,47,45,38,31,>=30,20,>=30
MK451SJ,83,43,40,30,25,>=30,20.1,>=30
MK451SL,8,3,5,3,2,N/A,N/A,N/A
MK451SN,5,3,2,4,3,21.7,20,>=30
MK451SP,21,12,9,9,6,>=30,25.5,>=30
MK451SQ,34,16,18,18,15,>=30,20.5,>=30
MK451SR,17,8,9,6,5,>=30,>=30,>=30
MK451SS,26,13,13,9,9,15,13.9,>=30
MK451ST,4,2,2,2,<3,N/A,N/A,N/A
MK451SU,18,7,11,7,7,23.8,20,>=30
MK451SW,13,4,9,7,6,28.9,21.7,>=30
MK451SX,27,13,14,11,10,>=30,>=30,>=30
MK451SY,18,8,10,8,6,13.7,11.5,>=30
MK451SZ,16,8,8,6,6,>=30,>=30,>=30
MK451TA,67,38,29,23,22,>=30,20,>=30
MK451TB,16,8,8,6,5,>=30,>=30,>=30
MK451TD,11,5,6,4,4,21.5,19.2,>=30
MK451TE,53,28,25,19,19,>=30,20,>=30
MK451TF,53,26,27,17,19,>=30,25,>=30
MK451TG,117,56,61,38,36,29.1,20,>=30
MK451TJ,17,7,10,11,4,15.7,15.5,16.2
MK451TP,61,35,26,20,19,28.7,20,>=30
MK451TQ,45,25,20,16,16,>=30,20,>=30
MK451TR,21,9,12,6,6,>=30,>=30,>=30
MK451TS,17,8,9,5,5,20.5,20,>=30
MK451TT,41,20,21,14,14,26.4,20,>=30
MK451TU,24,13,11,8,8,>=30,>=30,>=30
MK451TX,25,14,11,9,9,>=30,26.3,>=30
MK451TY,30,14,16,10,10,29.8,>=30,>=30
MK451TZ,49,25,24,16,16,22.8,20,>=30
MK451UA,93,49,44,39,33,29.2,20,>=30
MK451UD,150,74,76,47,45,>=30,16,>=30
MK451UH,126,62,64,43,39,>=30,20,>=30
MK451UJ,47,27,20,16,16,>=30,25.3,>=30
MK451UL,55,27,28,18,15,>=30,20,>=30
MK451UN,87,47,40,28,27,25.8,19.3,>=30
MK451UP,23,20,3,15,10,25.1,20.2,>=30
MK451UR,112,51,61,41,36,>=30,15.5,>=30
MK451UT,88,44,44,27,21,20.9,20,>=30
MK451WA,8,5,3,3,3,29.8,19.6,>=30
MK451WB,46,27,19,23,13,23.8,17.7,>=30
MK451WD,94,41,53,33,33,>=30,19,>=30
MK451XA,9,3,6,4,4,10.8,11.2,14.3
MK451XB,18,6,12,7,6,22.6,9,>=30
MK451XD,96,51,45,46,38,>=30,20,>=30
MK451XE,64,37,27,35,28,26.3,19,>=30
MK451XF,62,33,29,32,25,22.5,20,>=30
MK451XG,60,31,29,31,27,22.1,15.4,>=30
MK451XH,30,13,17,15,10,>=30,23.2,>=30
MK451XJ,19,8,11,14,8,29.1,26.6,>=30
MK451XL,39,17,22,18,16,27.7,21,>=30
MK451XN,1,1,0,1,<3,N/A,N/A,N/A
MK451XP,37,18,19,23,19,23.9,23.1,>=30
MK451XQ,41,21,20,18,18,22.4,16.4,>=30
MK451XS,63,24,39,24,17,28,11.7,>=30
MK451XW,7,4,3,6,3,16.7,19.1,>=30
MK452AA,111,59,52,42,26,14.2,4.9,>=30
MK452AB,23,12,11,9,7,2.1,2.1,2.4
MK452AD,97,45,52,31,31,3.6,3.4,6.8
MK452AE,88,43,45,31,32,5.6,6.2,8.9
MK452AF,41,19,22,18,16,5.7,5.5,9.7
MK452AG,10,5,5,3,2,N/A,N/A,N/A
MK452AH,22,11,11,10,9,6.6,7.3,7.7
MK452AJ,18,9,9,12,9,5.7,5.9,8.1
MK452AL,11,5,6,5,5,6.3,5,11.9
MK452AN,7,4,3,3,3,5.2,4.5,6.8
MK452AP,9,4,5,3,2,N/A,N/A,N/A
MK452AQ,17,7,10,6,5,5.7,5.3,7.3
MK452AS,3,1,2,1,<3,N/A,N/A,N/A
MK452AU,39,20,19,17,15,12.2,6.9,>=30
MK452AX,88,44,44,29,29,15.7,5,>=30
MK452AY,23,14,9,9,7,19.9,20,>=30
MK452AZ,21,13,8,7,4,2.1,1.5,4.5
MK452BA,6,3,3,3,3,3.6,3.8,3.9
MK452BB,34,16,18,13,8,3.2,3.4,4.5
MK452BD,32,14,18,11,14,3.7,3.7,5.4
MK452BE,9,4,5,3,3,5.4,5.8,6
MK452BG,18,9,9,6,11,2.2,2.3,3.9
MK452BH,4,2,2,2,<3,N/A,N/A,N/A
MK452BJ,143,72,71,58,42,21.8,20,>=30
MK452BL,32,17,15,13,14,23.6,20,>=30
MK452BN,16,5,11,6,6,27.1,15.6,>=30
MK452BP,67,27,40,30,22,12.3,8.6,>=30
MK452BQ,29,16,13,10,8,3.4,3.8,4.9
MK452BS,24,14,10,19,20,11.3,8.7,>=30
MK452BT,23,11,12,12,10,14.5,20,20
MK452BU,18,5,13,16,4,18.3,18.7,20.9
MK452BW,76,34,42,32,19,17.3,10.2,>=30
MK452BX,39,23,16,27,6,12.2,12.2,17
MK452BY,43,19,24,15,13,4.9,4.5,7.4
MK452BZ,31,16,15,9,10,4.8,4.6,7
MK452DA,76,37,39,27,24,21.8,20,>=30
MK452DB,41,24,17,15,14,15.9,9.5,>=30
MK452DD,103,50,53,43,35,13.9,9.5,>=30
MK452DE,17,8,9,8,8,15,6.5,>=30
MK452DF,86,41,45,40,35,19.7,17.2,>=30
MK452DG,111,56,55,41,40,25.2,20,>=30
MK452DH,132,66,66,53,47,21.9,20,>=30
MK452DJ,65,33,32,27,20,5.4,5.4,12.3
MK452DL,73,34,39,25,26,29.1,20,>=30
MK452DN,21,12,9,8,9,26.9,20,>=30
MK452DP,24,15,9,8,4,>=30,>=30,>=30
MK452DQ,5,3,2,2,4,5.7,5.5,7.8
MK452DR,57,25,32,27,18,26,20,>=30
MK452DS,37,16,21,15,12,18.5,9.8,>=30
MK452DT,97,43,54,42,22,25.1,20,>=30
MK452DU,142,69,73,51,39,>=30,>=30,>=30
MK452DW,27,12,15,13,11,17.6,11.9,>=30
MK452DX,11,6,5,3,2,N/A,N/A,N/A
MK452DY,128,63,65,43,42,5.5,5,10.6
MK452DZ,6,3,3,3,2,N/A,N/A,N/A
MK452EA,37,17,20,16,15,2.5,2.3,4.2
MK452EB,6,3,3,2,<3,N/A,N/A,N/A
MK452ED,55,24,31,19,18,26.9,15.1,>=30
MK452EE,16,9,7,5,4,16.2,13.7,>=30
MK452EF,25,11,14,16,15,22,20,>=30
MK452EG,22,11,11,6,7,25.8,9.2,>=30
MK452EH,22,10,12,12,13,22.2,20.3,>=30
MK452EL,10,5,5,6,3,18.1,18.3,20
MK452EN,6,1,5,6,0,N/A,N/A,N/A
MK452EP,13,6,7,6,4,>=30,17.2,>=30
MK452ER,8,4,4,4,3,14.8,14.8,19.9
MK452ES,19,9,10,5,4,18.2,18.4,19
MK452EU,12,6,6,3,3,16.4,20.8,20.9
MK452EW,21,12,9,8,8,25.3,21.3,>=30
MK452EX,39,18,21,16,13,17.5,20,>=30
MK452EY,11,6,5,4,3,15.5,16.2,17.8
MK452EZ,14,10,4,4,4,6.6,5.3,13.6
MK452FE,15,9,6,6,7,6.2,7,8.2
MK452FF,8,3,5,2,4,2.9,1.9,6.1
MK452FG,16,10,6,4,4,10.2,10.2,12.4
MK452FH,26,15,11,13,7,6.3,6.6,8.8
MK452FJ,11,6,5,6,3,6.6,6.8,7.4
MK452FL,19,5,14,10,7,4.6,5.7,7.4
MK452FP,19,11,8,14,3,3.9,5.4,6.2
MK452FR,11,5,6,7,5,6.1,6,8.5
MK452FS,6,3,3,4,1,N/A,N/A,N/A
MK452FW,32,14,18,11,10,7.2,6.6,11.3
MK452GA,23,11,12,8,8,4.8,4.9,5.2
MK452GQ,24,12,12,14,14,16.7,17.5,20.8
MK452GR,6,3,3,4,3,16,16.8,18
MK452GS,6,1,5,4,3,18.6,19.6,20.5
MK452GT,10,5,5,4,3,13.7,15.1,17.9
MK452GU,7,2,5,4,4,17.6,17.8,20.7
MK452GY,26,15,11,12,11,17.9,18.7,22.4
MK452HA,36,19,17,14,14,12.4,13.5,19.1
MK452HE,9,6,3,4,3,6.8,8.1,9.7
MK452HF,17,9,8,6,7,7.7,6.1,13.5
MK452HJ,15,8,7,7,6,25.3,20,>=30
MK452HL,37,17,20,13,11,18.2,8.3,>=30
MK452HP,43,23,20,17,19,26.9,22.8,>=30
MK452HT,2,1,1,2,0,N/A,N/A,N/A
MK452HU,34,19,15,16,15,18.9,20.4,22.4
MK452HX,64,32,32,12,19,28.6,21.5,>=30
MK452HY,6,2,4,2,4,12.3,11.8,17.5
MK452HZ,21,10,11,6,9,7.9,8.4,12
MK452JA,19,13,6,7,5,10,8.1,14.9
MK452JB,21,11,10,6,5,6.5,8.1,11.8
MK452JD,53,28,25,20,16,8.2,8.2,12.1
MK452JE,19,7,12,8,6,5.6,5.3,9.1
MK452JF,2,1,1,1,<3,N/A,N/A,N/A
MK452JG,4,1,3,1,3,5.2,5,5.8
MK452JH,10,6,4,3,1,N/A,N/A,N/A
MK452JJ,9,5,4,4,3,1.8,1.9,2
MK452JL,81,29,52,39,25,21.3,10.5,>=30
MK452JN,11,4,7,4,4,29.1,20,>=30
MK452JP,24,16,8,10,14,24.2,20.3,>=30
MK452JS,53,28,25,26,18,29.3,20,>=30
MK452JT,49,28,21,18,19,24.7,20,>=30
MK452JW,9,3,6,8,8,28.6,25,>=30
MK452JX,42,22,20,24,18,17.9,20,>=30
MK452JY,4,2,2,2,2,N/A,N/A,N/A
MK452JZ,47,16,31,32,24,29.8,25,>=30
MK452LA,60,33,27,21,20,24.3,20,>=30
MK452LB,50,23,27,14,13,28.8,20,>=30
MK452LD,70,38,32,30,23,26.5,21,>=30
MK452LE,27,13,14,10,9,19.5,20,>=30
MK452LF,47,20,27,12,11,27,22.7,>=30
MK452LG,24,11,13,23,10,24.1,18.9,>=30
MK452LH,28,16,12,11,11,27.2,20,>=30
MK452LJ,30,14,16,12,10,20.4,17.4,>=30
MK452LL,16,8,8,5,4,>=30,22,>=30
MK452LN,9,4,5,4,3,19.3,20,22.9
MK452LP,65,28,37,30,23,18.7,20.5,>=30
MK452LQ,9,5,4,4,4,13.8,14,20
MK452LR,57,32,25,31,29,21.3,20,>=30
MK452LS,2,1,1,1,<3,N/A,N/A,N/A
MK452LT,65,35,30,32,25,19.6,20.1,22
MK452LU,13,10,3,5,7,14.5,15.9,>=30
MK452LW,43,22,21,20,15,20.8,20.8,>=30
MK452LX,13,5,8,4,4,6.1,6,7.4
MK452LY,11,5,6,7,6,16.6,16.6,22.3
MK452LZ,4,1,3,2,<3,N/A,N/A,N/A
MK452NB,67,28,39,23,23,26.4,22.2,>=30
MK452NE,14,6,8,6,5,18.9,19.7,22
MK452NG,36,15,21,13,16,26.2,19.4,>=30
MK452NJ,64,31,33,26,22,17.3,18.9,>=30
MK452NP,4,2,2,2,<3,N/A,N/A,N/A
MK452NR,76,37,39,31,27,13,13.8,20
MK452NS,74,40,34,24,19,>=30,20,>=30
MK452NT,19,10,9,7,3,25.6,10.1,>=30
MK452NX,12,6,6,4,7,8.6,8.1,9.6
MK452NY,31,17,14,10,12,17.7,14.8,>=30
MK452NZ,20,10,10,8,8,28.1,25,>=30
MK452PA,132,63,69,49,46,22.1,15.3,>=30
MK452PD,12,7,5,5,4,17.4,15.4,>=30
MK452PH,7,3,4,4,3,19,17.4,23
MK452PJ,8,3,5,5,4,24.3,25,>=30
MK452PL,28,14,14,14,12,>=30,20,>=30
MK452PN,40,21,19,14,12,17.3,20,>=30
MK452PP,36,19,17,15,14,>=30,21.2,>=30
MK452PR,22,11,11,9,7,>=30,19.7,>=30
MK452PS,102,53,49,39,39,25.6,20,>=30
MK452PT,53,23,30,22,12,>=30,20,>=30
MK452PU,55,25,30,18,13,>=30,20,>=30
MK452PX,37,19,18,15,10,17.8,19.3,>=30
MK452PY,44,21,23,20,14,>=30,20.9,>=30
MK452PZ,20,10,10,6,7,6.8,6.9,9.7
MK452QA,64,27,37,25,19,>=30,20,>=30
MK452QB,88,40,48,41,36,27.2,20.1,>=30
MK452QD,12,7,5,8,1,N/A,N/A,N/A
MK452QE,29,15,14,13,9,21,20.2,>=30
MK452QF,19,10,9,12,2,N/A,N/A,N/A
MK452QG,31,17,14,11,7,>=30,20,>=30
MK452QH,70,27,43,40,24,23.4,20,>=30
MK452QJ,3,3,0,3,1,N/A,N/A,N/A
MK452QL,4,2,2,2,<3,N/A,N/A,N/A
MK452QP,49,26,23,20,20,26.5,20,>=30
MK452QQ,113,53,60,47,43,27.3,20,>=30
MK452QR,9,4,5,2,3,14.6,16.2,20
MK452QS,99,53,46,34,25,>=30,18.9,>=30
MK452QT,64,30,34,20,17,18.7,16.2,>=30
MK452QU,62,28,34,24,26,19.1,18.6,>=30
MK452QX,30,16,14,11,10,21.7,20,>=30
MK452QY,6,5,1,3,13,8.2,8.9,11.9
MK452RE,87,43,44,29,27,21.6,12.8,>=30
MK452RG,41,18,23,18,15,17,13.6,>=30
MK452RH,161,79,82,55,42,25.8,18.7,>=30
MK452RJ,28,15,13,9,9,>=30,18.3,>=30
MK452RL,37,17,20,12,12,26.2,21.2,>=30
MK452RN,23,11,12,9,8,16.5,14.9,>=30
