Postcode,Total,Males,Females,Occupied_Households,Number of connections, Average Speed/Mbps , Median Speed/Mbps , Maximum Speed/Mbps
MK441SH,112,57,55,47,40,2.8,2.7,5.1
MK441SJ,14,7,7,6,3,8,8,8.1
MK441SN,16,7,9,7,6,7,7.8,8.1
MK441TL,23,11,12,8,6,2.9,2.8,4.5
MK442AA,55,25,30,25,28,3.8,3.4,7.2
MK442AB,1,1,0,1,<3,N/A,N/A,N/A
MK442AD,3,1,2,2,<3,N/A,N/A,N/A
MK442AE,14,7,7,7,5,3.2,2.8,4
MK442AF,29,17,12,11,9,2.4,2.8,3.6
MK442AH,7,4,3,3,3,3.3,3.3,4.1
MK442AL,14,5,9,6,8,3.2,2.4,6.2
MK442AN,11,3,8,5,4,3.9,4.8,4.9
MK442AP,4,2,2,1,<3,N/A,N/A,N/A
MK442AS,64,31,33,29,23,2.7,2.8,5
MK442AT,10,6,4,4,4,3.2,3.3,4.2
MK442AU,16,8,8,7,4,2.5,2.3,3.6
MK442AW,17,7,10,7,6,1.5,1.7,2.3
MK442AX,28,16,12,10,9,1.5,1.4,2.9
MK442AY,3,1,2,1,<3,N/A,N/A,N/A
MK442AZ,4,1,3,1,<3,N/A,N/A,N/A
MK442BA,13,4,9,7,3,1.3,1,2
MK442BB,3,2,1,1,<3,N/A,N/A,N/A
MK442BD,13,6,7,5,1,N/A,N/A,N/A
MK442BE,3,1,2,2,<3,N/A,N/A,N/A
MK442BH,69,36,33,29,24,4.1,3.4,12.2
MK442BJ,6,4,2,1,<3,N/A,N/A,N/A
MK442BL,7,3,4,4,6,4.2,4.1,6.5
MK442BP,15,8,7,4,3,4.2,4.4,4.4
MK442BS,118,60,58,52,43,2.4,2.3,4.6
MK442BT,38,19,19,14,11,3.3,2.8,6.2
MK442BU,37,20,17,18,18,1.8,1.7,3.4
MK442BW,13,8,5,4,4,7,7.5,8
MK442BX,47,25,22,18,15,4.3,5.1,8.1
MK442BY,61,27,34,27,27,5,4.7,8.1
MK442BZ,3,1,2,1,<3,N/A,N/A,N/A
MK442DA,20,9,11,8,6,1.3,1.3,2.1
MK442DB,28,16,12,13,8,1.4,1.3,2.4
MK442DD,8,5,3,3,3,0.3,0.3,0.4
MK442DE,4,2,2,2,2,N/A,N/A,N/A
MK442DF,9,5,4,3,4,1.1,0.9,2.3
MK442DG,9,6,3,5,7,0.4,0.4,0.5
MK442DH,15,8,7,5,4,0.6,0.6,1
MK442DJ,23,10,13,7,4,0.6,0.6,0.6
MK442DL,14,9,5,7,5,2.7,2.8,3.6
MK442DP,35,15,20,12,13,4.1,4.3,7.2
MK442DQ,2,1,1,1,<3,N/A,N/A,N/A
MK442DR,33,17,16,13,11,1.8,1.9,2.3
MK442DS,53,24,29,27,19,2.1,2.2,3.4
MK442DT,97,44,53,41,31,2.1,2,3.6
MK442DU,41,19,22,18,13,2.3,2.3,3.6
MK442DX,60,33,27,23,16,1.8,1.9,4
MK442DY,39,21,18,17,17,2.2,2.3,4.3
MK442DZ,64,30,34,24,18,1.8,2,2.8
MK442EA,11,5,6,5,5,0.6,0.6,0.7
MK442EB,2,1,1,1,<3,N/A,N/A,N/A
MK442ED,11,6,5,3,4,1.2,1.2,1.6
MK442EE,42,23,19,17,13,1.3,1.2,3.8
MK442EF,5,3,2,1,<3,N/A,N/A,N/A
MK442EH,18,10,8,6,5,2.7,2.6,4.9
MK442EL,46,23,23,18,15,2.7,2.4,5.2
MK442EN,27,13,14,12,6,2.6,2.4,4.5
MK442EP,9,5,4,5,3,3.2,4.5,4.6
MK442EQ,41,19,22,16,10,2.2,1.9,3.9
MK442ER,16,7,9,6,5,2.5,2.8,3.9
MK442ES,19,10,9,7,5,5,4.5,8.6
MK442ET,9,5,4,3,6,1.6,1.8,2.6
MK442EW,7,3,4,4,3,2.9,2.9,3.1
MK442EX,17,10,7,8,4,2,2,3.2
MK442EY,25,12,13,9,7,3.9,3.8,5.1
MK442EZ,4,2,2,1,<3,N/A,N/A,N/A
MK442FD,15,5,10,8,5,2,2,2.8
MK442HB,2,1,1,1,<3,N/A,N/A,N/A
MK442HD,14,4,10,8,6,7.1,7.4,7.6
MK442HE,19,5,14,8,7,7.3,7.4,8.1
MK442HH,13,7,6,4,4,1.4,1.5,1.7
MK442HJ,2,2,0,1,<3,N/A,N/A,N/A
MK442HL,43,22,21,17,14,2.4,2.4,3.4
MK442HN,15,6,9,6,4,3,3.1,4.5
MK442HP,43,24,19,21,18,2.8,2.7,5.7
MK442HR,73,37,36,30,29,3,2.8,6.1
MK442HS,23,11,12,12,8,2.7,2.8,5.1
MK442HT,26,11,15,8,7,6.5,3.4,21.6
MK442HU,4,3,1,2,<3,N/A,N/A,N/A
MK442HW,10,5,5,3,1,N/A,N/A,N/A
MK442HX,18,10,8,9,8,2.4,2.3,4.6
MK442JA,6,3,3,3,4,1.6,1.6,2.3
MK442JB,50,26,24,21,16,1.2,1.2,2
MK442JD,50,28,22,19,17,1,1.1,1.9
MK442JE,38,20,18,16,15,1.1,0.9,2.8
MK442JF,20,8,12,8,9,1.2,1.4,1.9
MK442JG,45,22,23,14,10,1.1,1.2,1.8
MK442JH,12,5,7,6,5,1.3,1.4,1.5
MK442JJ,25,11,14,11,9,0.9,0.8,1.7
MK442JN,16,9,7,4,4,7.5,7.5,8.1
MK442JP,9,2,7,5,2,N/A,N/A,N/A
MK442JQ,9,4,5,3,2,N/A,N/A,N/A
MK442JT,1,1,0,1,<3,N/A,N/A,N/A
MK442JU,19,9,10,6,5,6,7.9,8.1
MK442JX,49,26,23,20,15,6.6,6.9,8.1
MK442JY,10,5,5,4,4,0.4,0.4,0.4
MK442JZ,5,4,1,2,5,8,8.1,8.1
MK442LA,48,22,26,21,19,6.6,7,8.1
MK442LB,82,40,42,32,24,7.2,7.9,8.1
MK442LD,11,5,6,3,3,6.8,6.8,7.4
MK442LE,23,12,11,9,8,5.9,5.7,8.1
MK442LF,2,1,1,1,<3,N/A,N/A,N/A
MK442LH,13,8,5,6,5,5.4,5.7,6
MK442LJ,10,6,4,3,<3,N/A,N/A,N/A
MK442LL,12,6,6,4,3,6,6,7.4
MK442LP,2,2,0,1,<3,N/A,N/A,N/A
MK442LR,6,4,2,1,<3,N/A,N/A,N/A
MK442LS,12,6,6,4,4,4.4,4.1,5.3
MK442LT,14,6,8,7,7,4.7,5.1,8
MK442LY,19,10,9,10,7,6.7,6.6,7.6
MK442LZ,3,2,1,1,<3,N/A,N/A,N/A
MK442NA,7,3,4,3,<3,N/A,N/A,N/A
MK442NB,5,1,4,2,<3,N/A,N/A,N/A
MK442ND,2,1,1,1,<3,N/A,N/A,N/A
MK442NE,18,10,8,7,6,3.9,3.7,4.6
MK442NH,9,5,4,3,<3,N/A,N/A,N/A
MK442NJ,14,7,7,8,6,5.5,4.8,8.1
MK442NN,10,4,6,5,3,2.8,2.8,3.4
MK442NR,3,3,0,1,<3,N/A,N/A,N/A
MK442NS,26,13,13,13,10,2.7,2.3,5.1
MK442NT,6,4,2,3,1,N/A,N/A,N/A
MK442NU,6,3,3,3,<3,N/A,N/A,N/A
MK442NX,12,6,6,6,4,3.1,3.6,4.5
MK442PA,15,8,7,10,6,1.7,1.7,3.4
MK442PB,95,46,49,40,39,2,1.7,4.3
MK442PD,6,3,3,1,<3,N/A,N/A,N/A
MK442PE,2,0,2,1,<3,N/A,N/A,N/A
MK442PF,3,2,1,1,<3,N/A,N/A,N/A
MK442PH,13,7,6,5,6,3.8,2.3,6.8
MK442PJ,13,4,9,4,3,3.4,3.4,5.1
MK442PN,6,2,4,2,2,N/A,N/A,N/A
MK442PP,5,3,2,2,1,N/A,N/A,N/A
MK442PQ,13,8,5,5,5,2.4,2.3,3.9
MK442PT,1,0,1,1,<3,N/A,N/A,N/A
MK442PX,17,9,8,7,6,1.1,1.2,1.7
